SubNum,Task,Day,NeutLoRT,FearLoRT,MorphLoRT,HouseLoRT,NeutHiRT,FearHiRT,MorphHiRT,HouseHiRT,NeutLoAcc,FearLoAcc,MorphLoAcc,HouseLoAcc,NeutHiAcc,FearHiAcc,MorphHiAcc,HouseHiAcc,TraitAnx,Fear-NeutLoRT,Morph-HouseLoRT,Fear-NeutHiRT,Morph-HouseHiRT,Morph-FearLoRT,Morph-FearHiRT,Morph-NeutLoRT,Morph-NeutHiRT
sub027,FaceHouse,1,0.571657702703,0.564205128205,0.576351428571,0.577451153846,0.814369166667,0.79444875,0.785864285714,0.78997109375,0.936708860759,0.962962962963,0.974683544304,0.987341772152,0.769230769231,0.708860759494,0.818181818182,0.8,39,-0.00745257449757,-0.00109972527473,-0.0199204166667,-0.00410680803571,0.0121463003663,-0.00858446428571,0.00469372586873,-0.0285048809524
sub027,FaceHouse,2,0.555144324324,0.553460972222,0.567854177215,0.574487228916,0.753259295775,0.807830704225,0.780559552239,0.829863333333,0.961038961039,0.986301369863,0.9875,0.976470588235,0.855421686747,0.845238095238,0.87012987013,0.833333333333,39,-0.0016833521021,-0.00663305170047,0.0545714084507,-0.0493037810945,0.014393204993,-0.0272711519865,0.0127098528909,0.0273002564642
sub028,FaceHouse,1,0.573820526316,0.573203205128,0.563058974359,0.595931973684,0.86279921875,0.849286271186,0.852020517241,0.804978253968,0.962025316456,0.975,0.975,0.962025316456,0.79012345679,0.746835443038,0.725,0.79746835443,36,-0.000617321187584,-0.0328729993252,-0.0135129475636,0.0470422632731,-0.0101442307692,0.00273424605494,-0.0107615519568,-0.0107787015086
sub028,FaceHouse,2,0.5383624,0.542780684932,0.536327333333,0.563196071429,0.754721515152,0.755240869565,0.779433125,0.835219814815,0.974025974026,0.973333333333,0.949367088608,0.988235294118,0.795180722892,0.821428571429,0.8,0.739726027397,36,0.00441828493151,-0.0268687380952,0.000519354413702,-0.0557866898148,-0.00645335159817,0.0241922554348,-0.00203506666667,0.0247116098485
sub029,FaceHouse,1,0.597664262295,0.582000140845,0.559328142857,0.598870461538,0.70879037037,0.734193018868,0.71340852459,0.724672352941,0.813333333333,0.8875,0.909090909091,0.844155844156,0.692307692308,0.679487179487,0.782051282051,0.662337662338,58,-0.01566412145,-0.0395423186813,0.0254026484976,-0.011263828351,-0.0226719979879,-0.0207844942778,-0.0383361194379,0.00461815421979
sub029,FaceHouse,2,0.579526666667,0.583234477612,0.582339342105,0.613027464789,0.667352857143,0.689249333333,0.6771128125,0.735897884615,0.907894736842,0.917808219178,0.95,0.835294117647,0.691358024691,0.722891566265,0.8,0.722222222222,58,0.00370781094527,-0.0306881226835,0.0218964761905,-0.0587850721154,-0.000895135506677,-0.0121365208333,0.0028126754386,0.00975995535714
sub030,FaceHouse,1,0.606402266667,0.6082772,0.602348888889,0.613091578947,0.889276896552,0.896237192982,0.850783225806,0.939955423729,0.961538461538,0.961538461538,0.923076923077,0.962025316456,0.753246753247,0.76,0.815789473684,0.7375,46,0.00187493333333,-0.0107426900585,0.00696029643073,-0.0891721979224,-0.00592831111111,-0.045453967176,-0.00405337777778,-0.0384936707453
sub030,FaceHouse,2,0.611835,0.603947605634,0.610394507042,0.611322891566,0.856254626866,0.854766666667,0.878278923077,0.939439322034,0.96,0.972602739726,0.910256410256,0.976470588235,0.817073170732,0.914634146341,0.844155844156,0.808219178082,46,-0.0078873943662,-0.000928384524011,-0.00148796019901,-0.061160398957,0.00644690140845,0.0235122564103,-0.00144049295775,0.0220242962113
sub031,FaceHouse,1,0.588499871795,0.596856142857,0.610256428571,0.6282752,0.67021744186,0.721279298246,0.691301,0.749016046512,0.987341772152,0.909090909091,0.897435897436,0.961538461538,0.565789473684,0.730769230769,0.649350649351,0.573333333333,31,0.00835627106227,-0.0180187714286,0.0510618563851,-0.0577150465116,0.0134002857143,-0.0299782982456,0.0217565567766,0.0210835581395
sub031,FaceHouse,2,0.598756849315,0.602566266667,0.591052307692,0.613052289157,0.72247245614,0.742833392857,0.7146154,0.746590192308,0.960526315789,0.986842105263,0.975,0.954022988506,0.721518987342,0.691358024691,0.657894736842,0.776119402985,31,0.0038094173516,-0.0219999814643,0.0203609367168,-0.0319747923077,-0.0115139589744,-0.0282179928571,-0.00770454162276,-0.00785705614035
